system:time_start,anomaly
"Jan 1, 2020",0.017
"Feb 1, 2020",7.96
"Oct 1, 2020",1.131
"Jan 1, 2021",11.375
"Feb 1, 2021",6.971
"Oct 1, 2021",1.161
"Nov 1, 2021",3.692
"Jan 1, 2022",12.468
"Feb 1, 2022",25.01
"Aug 1, 2022",4.471
"Sep 1, 2022",20.276
"Oct 1, 2022",25.766
"Nov 1, 2022",8.881
"Dec 1, 2022",12.276
"Jan 1, 2023",22.242
"Feb 1, 2023",25.734
"Mar 1, 2023",33.358
"Apr 1, 2023",2.474
"May 1, 2023",12.452
"Jun 1, 2023",19.763
"Jul 1, 2023",17.43
"Aug 1, 2023",22.488
"Sep 1, 2023",29.597
"Oct 1, 2023",23.641
"Dec 1, 2023",14.909
